City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,nishinoomote,30.7333,131.0,22.31,73,75,5.14,JP,1697509118
123,mana,5.6592,-53.7767,26.9,86,67,3.6,GF,1697509119
124,utrik,11.2278,169.8474,28.41,74,24,7.39,MH,1697509119
125,dunedin,-45.8742,170.5036,12.11,60,96,2.24,NZ,1697509030
126,kristiansund,63.1115,7.732,8.36,87,100,5.14,NO,1697509119
127,galveston,29.3669,-94.9669,17.98,62,0,4.63,US,1697508882
128,brevard,28.292,-80.7492,18.98,65,75,5.66,US,1697509119
129,beau vallon,-20.4189,57.6953,22.34,94,40,1.54,MU,1697509120
130,thinadhoo,0.5333,72.9333,27.53,69,100,7.3,MV,1697509120
131,kharan,28.5833,65.4167,19.54,25,0,2.73,PK,1697509120
132,sudislavl',57.8817,41.7083,6.72,92,100,4.23,RU,1697509120
133,afif,23.9065,42.9172,22.15,19,5,2.87,SA,1697509121
134,al muwayh,22.4333,41.7583,21.88,53,0,3.73,SA,1697509121
135,dabou,5.3256,-4.3769,24.58,88,100,3.08,CI,1697509121
136,ust-nera,64.5667,143.2,-15.99,94,50,1.34,RU,1697509121
137,andergrove,-21.0833,149.1833,32.03,61,6,5.6,AU,1697509121
138,kavieng,-2.5744,150.7967,29.15,66,98,0.95,PG,1697509122
139,roma,43.2128,-75.4557,11.09,86,100,2.06,US,1697509122
140,bechar,31.6167,-2.2167,22.18,24,0,2.57,DZ,1697509122
141,yantarnyy,54.8717,19.9381,9.3,55,25,6.51,RU,1697509122
142,kasongo-lunda,-6.4667,16.8167,20.82,98,97,0.26,CD,1697509122
143,fort mcmurray,56.7268,-111.381,11.73,62,100,3.09,CA,1697508911
144,bikenibeu village,1.3673,173.1241,31.98,66,75,4.63,KI,1697509123
145,kalmunai,7.4167,81.8167,26.81,79,28,1.1,LK,1697509123
146,geraldton,-28.7667,114.6,27.23,47,0,4.63,AU,1697509123
147,hadithah,34.1397,42.3781,21.4,53,0,5.09,IQ,1697509123
148,clarksville,36.5298,-87.3595,12.14,88,100,2.06,US,1697509068
149,dubovskoye,47.4092,42.7575,8.37,65,96,8.6,RU,1697509124
150,narasapur,16.45,81.6667,26.69,68,18,0.83,IN,1697509124
151,laguna,38.421,-121.4238,24.08,60,0,3.09,US,1697509124
152,lamar,33.6668,-95.5836,11.95,70,0,2.06,US,1697509124
153,tura,25.5198,90.2201,23.85,76,0,0.5,IN,1697509124
154,mbuji-mayi,-6.15,23.6,22.01,87,41,0.21,CD,1697509124
155,inirida,3.8653,-67.9239,22.83,88,27,0.43,CO,1697509125
156,cidreira,-30.1811,-50.2056,18.85,96,100,2.38,BR,1697509125
157,igarka,67.4667,86.5833,-1.76,96,82,1.67,RU,1697509125
158,uturoa,-16.7333,-151.4333,25.76,79,50,6.55,PF,1697509125
159,codrington,-38.2667,141.9667,15.97,50,3,3.27,AU,1697509125
160,puerto madryn,-42.7692,-65.0385,10.8,60,6,7.51,AR,1697509126
161,arteche,12.2645,125.4048,29.61,67,48,2.9,PH,1697509126
162,nemuro,43.3236,145.575,11.62,53,17,9.58,JP,1697509126
163,dudinka,69.4058,86.1778,-0.18,98,100,2.68,RU,1697509126
164,zonguldak,41.25,31.8333,7.2,95,97,1.4,TR,1697509127
165,aldan,58.6031,125.3894,-1.0,66,100,1.34,RU,1697509127
166,linhai,28.85,121.1167,25.52,38,0,0.92,CN,1697509127
167,port-vila,-17.7338,168.3219,28.78,65,40,3.6,VU,1697509127
168,mount isa,-20.7333,139.5,31.87,14,1,4.63,AU,1697509127
169,kununurra,-15.7667,128.7333,36.99,12,0,4.63,AU,1697509128
170,kailua-kona,19.6406,-155.9956,28.98,79,20,4.63,US,1697509128
171,tommot,58.9564,126.2925,-1.43,55,100,1.11,RU,1697509128
172,nogales,31.3086,-110.9422,26.76,19,0,0.0,MX,1697509128
173,alofi,-19.0595,-169.9187,25.94,61,75,10.29,NU,1697509077
174,atafu village,-8.5421,-172.5159,28.51,77,100,6.68,TK,1697509129
175,datong,40.0936,113.2914,14.77,36,97,2.54,CN,1697509129
176,enewetak,11.3474,162.3373,28.93,75,8,6.32,MH,1697509129
177,iqaluit,63.7506,-68.5145,-8.15,79,0,3.09,CA,1697509129
178,sao joao da barra,-21.6403,-41.0511,23.71,90,23,7.46,BR,1697509129
179,nar'yan-mar,67.6713,53.087,1.17,89,71,4.02,RU,1697509129
180,kitui,-1.367,38.0106,18.58,93,100,1.63,KE,1697509130
